date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2022-01-03,Estonia,58.5953,25.0136,243236,1939,0,241297,2.5230640201285994,2.5,13.26539
2022-01-03,Finland,61.92411,25.748151,286679,1751,0,284928,15.379919701129138,15.4,55.40718
2022-01-03,France,46.2276,2.2137,10422830,125200,0,10297630,11.242714310796588,11.2,652.73512
2022-01-03,Germany,51.165691,10.451526,7207847,112223,0,7095624,2.810242781235506,2.8,837.83945
2022-01-03,Greece,39.0742,21.8243,1294741,20990,0,1273751,16.26487459654093,16.3,104.23056
2022-01-03,Hungary,47.1625,19.5033,1262280,39434,0,1222846,1.3436796907183826,1.3,96.6035
2022-01-03,Iceland,64.9631,-19.0208,31070,38,0,31032,21.660766012230447,21.7,3.4125
2022-01-03,Ireland,53.1424,-7.6921,845897,5912,0,839985,14.592320341601873,14.6,49.37796
2022-01-03,Italy,41.87194,12.56738,6396110,137786,0,6258324,11.22554177460988,11.2,604.61828
2022-01-03,Kosovo,42.602636,20.902977,161598,2991,0,158607,0.1577989826606765,0.2,18.45
2022-01-03,Latvia,56.8796,24.6032,277692,4594,0,273098,2.1340189850625872,2.1,18.86202
2022-01-03,Liechtenstein,47.14,9.55,6236,71,0,6165,4.522129570237332,4.5,0.38137
2022-01-03,Lithuania,55.1694,23.8813,529212,7452,0,521760,2.3669153382765318,2.4,27.22291
2022-01-03,Luxembourg,49.8153,6.1296,105358,917,0,104441,5.354125932534786,5.4,6.25976
2022-01-03,Malta,35.9375,14.3754,55062,479,0,54583,14.492753623188406,14.5,4.41539
2022-01-03,Moldova,47.4116,28.3699,376844,10306,0,366538,0.5522178938765112,0.6,40.33963
2022-01-03,Monaco,43.7333,7.4167,4985,39,0,4946,3.530591775325978,3.5,0.39244
2022-01-03,Montenegro,42.708678,19.37439,174865,2420,0,172445,6.239670603036628,6.2,6.28062
2022-01-03,Netherlands,52.1326,5.2913,3252649,21439,0,3231210,3.745470230572066,3.7,171.34873
2022-01-03,North Macedonia,41.6086,21.7453,225972,7981,0,217991,1.1691714017665906,1.2,20.8338
2022-01-03,Norway,60.472,8.4689,404551,1305,0,403246,6.541573250344209,6.5,54.21242
2022-01-03,Poland,51.9194,19.1451,4133851,97601,0,4036250,1.9107123115951687,1.9,378.46605
2022-01-03,Portugal,39.3999,-8.2245,1434570,19000,0,1415570,10.348118251462111,10.3,101.96707
2022-01-03,Romania,45.9432,24.9668,1813056,58814,0,1754242,0.537490292632991,0.5,192.37682
2022-01-03,San Marino,43.9424,12.4578,8487,102,0,8385,9.791445740544361,9.8,0.33938
2022-01-03,Serbia,44.0165,21.0059,1305621,12787,0,1292834,1.064857259495673,1.1,87.3737
2022-01-03,Slovakia,48.669,19.699,1376559,16740,0,1359819,1.8240409601041436,1.8,54.59643
2022-01-03,Slovenia,46.1512,14.9955,467565,5614,0,461951,2.3119780137520984,2.3,20.78931
2022-01-03,Spain,40.463667,-3.74922,6667511,89573,0,6577938,11.021879079014642,11.0,467.54783
2022-01-03,Sweden,60.128161,18.643501,1314784,15310,0,1299474,3.1542063183001923,3.2,100.9927
2022-01-03,Switzerland,46.8182,8.2275,1371062,12268,0,1358794,7.838741063496764,7.8,86.54618
2022-01-03,Turkey,38.9637,35.2433,9597670,82795,0,9514875,2.755324990336196,2.8,843.39067
2022-01-03,Ukraine,48.3794,31.1656,3856359,102558,0,3753801,0.7893974601431039,0.8,437.33759
2022-01-03,United Kingdom,55.3781,-3.436,13498751,178374,0,13320377,8.820282706155554,8.8,678.86004
2022-01-04,Albania,41.1533,20.1683,212021,3224,0,208797,1.7304889609991463,1.7,28.778
2022-01-04,Andorra,42.5063,1.5218,24802,141,0,24661,9.120232239335538,9.1,0.77265
2022-01-04,Austria,47.5162,14.5501,1284811,16879,0,1267932,1.799797791270467,1.8,90.064
2022-01-04,Belarus,53.7098,27.9534,702374,5638,0,696736,1.0887362003718817,1.1,94.49321
2022-01-04,Belgium,50.8333,4.469936,2151914,28407,0,2123507,4.139477692881779,4.1,115.89616
2022-01-04,Bosnia and Herzegovina,43.9159,17.6791,293684,13517,0,280167,1.6371337900600647,1.6,32.80815
2022-01-04,Bulgaria,42.7339,25.4858,757710,31237,0,726473,2.7024851196368003,2.7,69.48445
2022-01-04,Croatia,45.1,15.2,727899,12699,0,715200,4.114169685629462,4.1,41.05268
2022-01-04,Cyprus,35.1264,33.4299,183178,646,0,182532,15.423249516863379,15.4,12.07361
2022-01-04,Denmark,56.2639,9.5018,874890,3323,0,871567,14.644240990295923,14.6,57.92203
2022-01-04,Estonia,58.5953,25.0136,244733,1940,0,242793,2.718881393191764,2.7,13.26539
2022-01-04,Finland,61.92411,25.748151,296204,1764,0,294440,15.853263291515306,15.9,55.40718
2022-01-04,France,46.2276,2.2137,10694804,125551,0,10569253,11.81858966279326,11.8,652.73512
2022-01-04,Germany,51.165691,10.451526,7238408,112579,0,7125829,2.9293596050402244,2.9,837.83945
2022-01-04,Greece,39.0742,21.8243,1344923,21053,0,1323870,17.773359515749227,17.8,104.23056
2022-01-04,Hungary,47.1625,19.5033,1264709,39517,0,1225192,1.4248336969215842,1.4,96.6035
2022-01-04,Iceland,64.9631,-19.0208,32540,38,0,32502,22.206515058389673,22.2,3.4125
2022-01-04,Ireland,53.1424,-7.6921,867199,5912,0,861287,15.651770816156384,15.7,49.37796
2022-01-04,Italy,41.87194,12.56738,6566947,138045,0,6428902,12.342645676902828,12.3,604.61828
2022-01-04,Kosovo,42.602636,20.902977,161706,2991,0,158715,0.21644218520030178,0.2,18.45
2022-01-04,Latvia,56.8796,24.6032,279320,4600,0,274720,2.279822425891451,2.3,18.86202
2022-01-04,Liechtenstein,47.14,9.55,6348,71,0,6277,4.552614996849401,4.6,0.38137
2022-01-04,Lithuania,55.1694,23.8813,531687,7474,0,524213,2.50654990624183,2.5,27.22291
2022-01-04,Luxembourg,49.8153,6.1296,106235,918,0,105317,5.677978067491881,5.7,6.25976
2022-01-04,Malta,35.9375,14.3754,56209,479,0,55730,13.928374459606113,13.9,4.41539
2022-01-04,Moldova,47.4116,28.3699,377496,10319,0,367177,0.6439803335664483,0.6,40.33963
2022-01-04,Monaco,43.7333,7.4167,4985,39,0,4946,1.9257773319959879,1.9,0.39244
2022-01-04,Montenegro,42.708678,19.37439,177455,2422,0,175033,6.976980079456764,7.0,6.28062
2022-01-04,Netherlands,52.1326,5.2913,3279437,21458,0,3257979,4.0229466216304814,4.0,171.34873
2022-01-04,North Macedonia,41.6086,21.7453,227168,7996,0,219172,1.5094555571207213,1.5,20.8338
2022-01-04,Norway,60.472,8.4689,412472,1307,0,411165,7.196367268566108,7.2,54.21242
2022-01-04,Poland,51.9194,19.1451,4145518,98034,0,4047484,1.9491653395305484,1.9,378.46605
2022-01-04,Portugal,39.3999,-8.2245,1460406,19015,0,1441391,10.758309675528587,10.8,101.96707
2022-01-04,Romania,45.9432,24.9668,1816956,58866,0,1758090,0.6880188623169741,0.7,192.37682
2022-01-04,San Marino,43.9424,12.4578,8682,102,0,8580,11.806035475696843,11.8,0.33938
2022-01-04,Serbia,44.0165,21.0059,1310845,12806,0,1298039,1.3312786790200215,1.3,87.3737
2022-01-04,Slovakia,48.669,19.699,1381175,16788,0,1364387,1.7383749343855774,1.7,54.59643
2022-01-04,Slovenia,46.1512,14.9955,470960,5623,0,465337,2.631221335145235,2.6,20.78931
2022-01-04,Spain,40.463667,-3.74922,6785286,89689,0,6695597,11.097380419926294,11.1,467.54783
2022-01-04,Sweden,60.128161,18.643501,1357753,15330,0,1342423,4.6542338702252914,4.7,100.9927
2022-01-04,Switzerland,46.8182,8.2275,1391814,12229,0,1379585,8.252395794265613,8.3,86.54618
2022-01-04,Turkey,38.9637,35.2433,9652394,82932,0,9569462,2.973303824937109,3.0,843.39067
2022-01-04,Ukraine,48.3794,31.1656,3858248,102717,0,3755531,0.7752741658908395,0.8,437.33759
2022-01-04,United Kingdom,55.3781,-3.436,13722579,178578,0,13544001,9.29935983607746,9.3,678.86004
2022-01-05,Albania,41.1533,20.1683,212021,3224,0,208797,1.4724956490158994,1.5,28.778
2022-01-05,Andorra,42.5063,1.5218,25289,141,0,25148,9.75127525801732,9.8,0.77265
2022-01-05,Austria,47.5162,14.5501,1290817,16900,0,1273917,2.0552099949102,2.1,90.064
2022-01-05,Belarus,53.7098,27.9534,703507,5653,0,697854,1.0358105889493636,1.0,94.49321
2022-01-05,Belgium,50.8333,4.469936,2179710,28429,0,2151281,4.768019598937474,4.8,115.89616
2022-01-05,Bosnia and Herzegovina,43.9159,17.6791,295240,13547,0,281693,1.8845684866549248,1.9,32.80815
2022-01-05,Bulgaria,42.7339,25.4858,764476,31303,0,733173,3.112458729901266,3.1,69.48445
2022-01-05,Croatia,45.1,15.2,736486,12731,0,723755,4.448964406655388,4.4,41.05268
2022-01-05,Cyprus,35.1264,33.4299,188380,650,0,187730,16.165198004034398,16.2,12.07361
2022-01-05,Denmark,56.2639,9.5018,903652,3338,0,900314,14.758778821935877,14.8,57.92203
2022-01-05,Estonia,58.5953,25.0136,246221,1942,0,244279,2.9501951498856718,3.0,13.26539
2022-01-05,Finland,61.92411,25.748151,306188,1777,0,304411,16.35237174546357,16.4,55.40718
2022-01-05,France,46.2276,2.2137,11027112,125797,0,10901315,12.587838048620528,12.6,652.73512
2022-01-05,Germany,51.165691,10.451526,7297320,112925,0,7184395,3.1642849703726847,3.2,837.83945
2022-01-05,Greece,39.0742,21.8243,1388309,21115,0,1367194,18.26653864521515,18.3,104.23056
2022-01-05,Hungary,47.1625,19.5033,1269979,39599,0,1230380,1.597270506047738,1.6,96.6035
2022-01-05,Iceland,64.9631,-19.0208,33901,39,0,33862,25.329636293914636,25.3,3.4125
2022-01-05,Ireland,53.1424,-7.6921,884855,5952,0,878903,15.478242197874229,15.5,49.37796
2022-01-05,Italy,41.87194,12.56738,6756035,138276,0,6617759,13.345209135239827,13.3,604.61828
2022-01-05,Kosovo,42.602636,20.902977,161813,2991,0,158822,0.26203086278605553,0.3,18.45
2022-01-05,Latvia,56.8796,24.6032,281155,4613,0,276542,2.4484714837011614,2.4,18.86202
2022-01-05,Liechtenstein,47.14,9.55,6406,71,0,6335,4.292850452700593,4.3,0.38137
2022-01-05,Lithuania,55.1694,23.8813,535177,7488,0,527689,2.744886271271,2.7,27.22291
2022-01-05,Luxembourg,49.8153,6.1296,108366,920,0,107446,6.561098499529373,6.6,6.25976
2022-01-05,Malta,35.9375,14.3754,57131,482,0,56649,12.977192767499256,13.0,4.41539
2022-01-05,Moldova,47.4116,28.3699,378202,10328,0,367874,0.751979101115277,0.8,40.33963
2022-01-05,Monaco,43.7333,7.4167,5492,41,0,5451,9.231609613983977,9.2,0.39244
2022-01-05,Montenegro,42.708678,19.37439,180260,2428,0,177832,7.588483301897259,7.6,6.28062
2022-01-05,Netherlands,52.1326,5.2913,3306721,21497,0,3285224,4.329938933463089,4.3,171.34873
2022-01-05,North Macedonia,41.6086,21.7453,228540,8000,0,220540,1.927890084886672,1.9,20.8338
2022-01-05,Norway,60.472,8.4689,420857,1349,0,419508,7.998203665378027,8.0,54.21242
2022-01-05,Poland,51.9194,19.1451,4162715,98666,0,4064049,1.9802700881516029,2.0,378.46605
2022-01-05,Portugal,39.3999,-8.2245,1499976,19029,0,1480947,11.321381142098273,11.3,101.96707
